Project,#Custom Widgets,#AJS Asset,#Custom Widgets using Assets
app-HRManagement,12,7,5
app-InvoiceManagement,10,8,3
app-Ticketing,17,8,3
credit-card-dispute-resolution,5,8,2
expense-report-example,1,9,1
procurement-example,2,9,0
showroom-cloud,3,9,1
tahiti,11,10,6
serenity,5,10,1
DemandeTeletravail-1.2,3,10,0
CECILIAPEREZ_Alta de Persona Juridica-4.3.0,0,10,0
CECILIAPEREZ_Reporte de Eventos-2.8,1,10,0
DongheeBaik_Security Advisory Process-1.0,6,11,3
FabienDelannoy_SESAM_SaisieAchat-1.3,22,14,4
HariPrasadAlla_TravelReqAppDiagram-1.0,0,14,0
JonathanSeguraGomez_Consumer_Finance_Vehiculo-1.0,30,38,25
josemiguelsiunavarro_repositoriobp_20200211_PR007,10,43,6
MatthewRiding_Process Killing Diagram-3.0,0,43,0
MatthewRiding_SnpmDownAlert-1.0,0,43,0
MatthewRobinson_AAAdCompFaculty,1,43,1
soo_workspace_bpm_tc,11,48,5
