Project,#BdmObj,#BdmFields,#Diagrams,#Pools,#Lanes,#Tasks,#ConnectCalls,#GroovyExps,#Pages,#CWs,#Fragments
app-HRManagement,20,178,7,12,19,40,15,147,35,12,9
app-InvoiceManagement,20,178,8,9,10,20,11,68,27,10,15
app-Ticketing,20,178,12,14,14,30,19,170,28,17,15
credit-card-dispute-resolution,5,29,2,2,4,12,2,56,9,5,9
expense-report-example,2,8,3,3,4,1,0,4,6,1,0
procurement-example,3,16,3,3,4,6,0,9,7,2,0
showroom-cloud,20,182,2,3,2,2,2,16,17,3,2
tahiti,7,51,7,9,8,28,15,92,14,11,4
serenity,7,51,6,13,12,84,1,79,12,5,4
CECILIAPEREZ_Alta de Persona Juridica-4.3.0,93,2141,1,1,7,39,76,410,2,26,0
CECILIAPEREZ_Reporte de Eventos-2.8,66,1506,1,1,0,14,39,230,1,27,0
DongheeBaik_Security Advisory Process-1.0,22,189,1,1,3,72,38,127,23,32,14
FabienDelannoy_SESAM_SaisieAchat-1.3,27,443,1,1,6,24,37,473,14,48,67
HariPrasadAlla_TravelReqAppDiagram-1.0,7,60,3,3,12,12,0,8,1,26,0
JonathanSeguraGomez_Consumer_Finance_Vehiculo-1.0,0,0,23,23,50,49,114,420,73,56,1
josemiguelsiunavarro_repositoriobp_20200211_PR007,52,809,1,4,14,69,52,1026,36,36,2
MatthewRiding_Process Killing Diagram-3.0,2,9,1,1,1,2,3,24,2,26,0
MatthewRiding_SnpmDownAlert-1.0,2,11,1,2,2,10,2,20,2,26,0
MatthewRobinson_AAAdCompFaculty,28,388,1,1,14,24,10,198,1,27,0
soo_workspace_bpm_tc,0,0,120,516,64,672,1078,3203,76,37,39
